Frame,Danger_Sent,Steering_Sent,FPGA_Brake_Recv,FPGA_Throttle_Recv,FPGA_Steer_Recv
1,102,133,102,0,133
2,104,131,104,0,131
3,104,128,104,0,128
4,91,122,91,0,122
5,90,116,90,0,116
6,85,107,85,0,107
7,94,93,94,0,93
8,94,75,94,0,75
9,103,46,103,0,46
10,102,30,102,0,30
11,111,13,111,0,13
12,61,3,61,0,3
13,74,3,74,0,3
14,67,14,67,0,14
15,58,45,58,0,45
16,100,219,100,0,219
17,43,117,43,14,117
18,41,126,41,18,126
19,40,230,40,20,230
20,42,245,42,16,245
21,43,243,43,14,243
22,33,135,33,34,135
23,31,137,31,38,137
24,21,139,21,58,139
25,21,140,21,58,140
26,20,139,20,60,139
27,26,138,26,48,138
28,27,137,27,46,137
29,25,137,25,50,137
30,23,137,23,54,137
31,18,136,18,64,136
32,20,136,20,60,136
33,22,135,22,56,135
34,22,135,22,56,135
35,21,134,21,58,134
36,21,134,21,58,134
37,19,133,19,62,133
38,26,190,26,48,190
39,23,132,23,54,132
40,23,132,23,54,132
