Frame,Danger_Sent,Steering_Sent,FPGA_Brake_Recv,FPGA_Throttle_Recv,FPGA_Steer_Recv
1,56,13,56,0,13
2,35,242,35,30,242
3,38,235,38,24,235
4,63,243,63,0,243
5,41,22,41,18,22
6,42,11,42,16,11
7,40,23,40,20,23
8,43,9,43,14,9
9,54,16,54,0,16
10,49,26,49,2,26
11,58,13,58,0,13
12,85,40,85,0,40
13,38,40,38,24,40
14,51,17,51,0,17
15,49,23,49,2,23
16,54,7,54,0,7
17,53,15,53,0,15
18,42,23,42,16,23
19,43,7,43,14,7
20,24,241,24,52,241
21,28,70,28,44,70
22,36,58,36,28,58
23,45,40,45,10,40
24,64,26,64,0,26
25,66,11,66,0,11
26,27,66,27,46,66
27,22,105,22,56,105
28,20,247,20,60,247
29,31,87,31,38,87
30,5,152,5,90,152
31,6,152,6,88,152
32,39,6,39,22,6
33,6,124,6,88,124
34,11,242,11,78,242
35,9,61,9,82,61
36,11,120,11,78,120
37,15,118,15,70,118
38,21,114,21,58,114
39,28,107,28,44,107
40,47,92,47,6,92
41,109,44,109,0,44
