Frame,Danger_Sent,Steering_Sent,FPGA_Brake_Recv,FPGA_Throttle_Recv,FPGA_Steer_Recv
1,13,141,13,74,141
2,16,134,16,68,134
3,22,123,22,56,123
4,29,107,29,42,107
5,49,76,49,2,76
6,102,19,102,0,19
7,25,107,25,50,107
8,49,76,49,2,76
9,88,8,88,0,8
10,52,19,52,0,19
11,28,12,28,44,12
12,32,63,32,36,63
13,38,52,38,24,52
14,44,44,44,12,44
15,52,216,52,0,216
16,61,222,61,0,222
17,67,226,67,0,226
18,77,228,77,0,228
19,87,231,87,0,231
20,77,235,77,0,235
21,64,241,64,0,241
22,51,45,51,0,45
23,61,36,61,0,36
24,63,29,63,0,29
25,66,19,66,0,19
26,42,31,42,16,31
27,46,22,46,8,22
28,48,13,48,4,13
29,27,188,27,46,188
30,33,197,33,34,197
31,41,210,41,18,210
32,53,231,53,0,231
33,59,244,59,0,244
34,80,233,80,0,233
35,64,228,64,0,228
36,59,225,59,0,225
37,81,234,81,0,234
38,62,230,62,0,230
39,104,25,104,0,25
40,47,22,47,6,22
