Frame,Danger_Sent,Steering_Sent,FPGA_Brake_Recv,FPGA_Throttle_Recv,FPGA_Steer_Recv
1,0,127,0,100,127
2,0,127,0,100,127
3,0,127,0,100,127
4,0,127,0,100,127
5,21,248,21,58,248
6,20,223,20,60,223
7,20,224,20,60,224
8,24,198,24,52,198
9,24,198,24,52,198
10,27,198,27,46,198
11,30,197,30,40,197
12,33,222,33,34,222
13,36,214,36,28,214
14,41,198,41,18,198
15,46,171,46,8,171
16,58,90,58,0,90
17,80,28,80,0,28
18,93,17,93,0,17
19,91,34,91,0,34
20,49,57,49,2,57
21,62,25,62,0,25
22,70,235,70,0,235
23,71,230,71,0,230
24,72,243,72,0,243
25,55,232,55,0,232
26,49,245,49,2,245
27,47,227,47,6,227
28,59,235,59,0,235
29,94,15,94,0,15
30,54,231,54,0,231
31,55,245,55,0,245
32,62,232,62,0,232
33,48,250,48,4,250
34,34,176,34,32,176
35,41,202,41,18,202
36,57,231,57,0,231
37,44,115,44,12,115
38,53,156,53,0,156
39,72,219,72,0,219
40,28,210,28,44,210
41,0,127,0,100,127
