Frame,Danger_Sent,Steering_Sent,FPGA_Brake_Recv,FPGA_Throttle_Recv,FPGA_Steer_Recv
1,0,127,0,100,127
2,0,127,0,100,127
3,11,108,11,78,108
4,19,106,19,62,106
5,19,113,19,62,113
6,20,124,20,60,124
7,21,137,21,58,137
8,25,155,25,50,155
9,28,184,28,44,184
10,31,217,31,38,217
11,22,59,22,56,59
12,25,77,25,50,77
13,27,99,27,46,99
14,30,128,30,40,128
15,33,165,33,34,165
16,36,213,36,28,213
17,36,242,36,28,242
18,27,128,27,46,128
19,44,242,44,12,242
20,44,224,44,12,224
21,47,33,47,6,33
22,22,12,22,56,12
23,0,127,0,100,127
24,32,244,32,36,244
25,29,9,29,42,9
26,34,175,34,32,175
27,34,134,34,32,134
28,35,114,35,30,114
29,35,164,35,30,164
30,38,218,38,24,218
31,35,74,35,30,74
32,36,125,36,28,125
33,40,181,40,20,181
34,39,228,39,22,228
35,27,92,27,46,92
36,26,56,26,48,56
37,25,23,25,50,23
38,38,229,38,24,229
39,38,39,38,24,39
40,40,83,40,20,83
41,43,133,43,14,133
