Frame,Danger_Sent,Steering_Sent,FPGA_Brake_Recv,FPGA_Throttle_Recv,FPGA_Steer_Recv
1,0,127,0,100,127
2,0,127,0,100,127
3,0,127,0,100,127
4,0,127,0,100,127
5,0,127,0,100,127
6,18,9,18,64,9
7,33,20,33,34,20
8,35,10,35,30,10
9,38,31,38,24,31
10,59,14,59,0,14
11,37,233,37,26,233
12,41,12,41,18,12
13,39,203,39,22,203
14,28,61,28,44,61
15,27,108,27,46,108
16,28,147,28,44,147
17,28,195,28,44,195
18,31,237,31,38,237
19,27,126,27,46,126
20,28,174,28,44,174
21,29,220,29,42,220
22,31,244,31,38,244
23,26,91,26,48,91
24,28,148,28,44,148
25,31,202,31,38,202
26,32,238,32,36,238
27,30,31,30,40,31
28,28,95,28,44,95
29,30,139,30,40,139
30,32,198,32,36,198
31,34,245,34,32,245
32,14,80,14,72,80
33,15,79,15,70,79
34,15,80,15,70,80
35,14,80,14,72,80
36,15,80,15,70,80
37,14,79,14,72,79
38,15,80,15,70,80
39,15,80,15,70,80
40,15,80,15,70,80
41,14,80,14,72,80
