Frame,Danger_Sent,Steering_Sent,FPGA_Brake_Recv,FPGA_Throttle_Recv,FPGA_Steer_Recv
1,108,201,108,0,201
2,14,11,14,72,11
3,95,111,95,0,111
4,107,161,107,0,161
5,129,219,129,0,219
6,26,79,26,48,79
7,14,10,14,72,10
8,53,117,53,0,117
9,93,175,93,0,175
10,76,236,76,0,236
11,22,91,22,56,91
12,27,103,27,46,103
13,34,123,34,32,123
14,46,152,46,8,152
15,19,80,19,62,80
16,30,44,30,40,44
17,14,7,14,72,7
18,14,5,14,72,5
19,29,120,29,42,120
20,40,162,40,20,162
21,44,205,44,12,205
22,42,230,42,16,230
23,32,25,32,36,25
24,0,127,0,100,127
25,0,127,0,100,127
26,0,127,0,100,127
27,0,127,0,100,127
28,0,127,0,100,127
29,0,127,0,100,127
30,0,127,0,100,127
31,0,127,0,100,127
32,13,85,13,74,85
33,24,36,24,52,36
34,29,45,29,42,45
35,40,58,40,20,58
36,49,80,49,2,80
37,82,127,82,0,127
38,89,204,89,0,204
39,40,14,40,20,14
40,56,78,56,0,78
