Frame,Danger_Sent,Steering_Sent,FPGA_Brake_Recv,FPGA_Throttle_Recv,FPGA_Steer_Recv
1,18,119,18,64,119
2,20,120,20,60,120
3,24,180,24,52,180
4,27,190,27,46,190
5,30,200,30,40,200
6,33,209,33,34,209
7,36,220,36,28,220
8,40,231,40,20,231
9,40,236,40,20,236
10,42,240,42,16,240
11,42,245,42,16,245
12,42,80,42,16,80
13,47,71,47,6,71
14,18,28,18,64,28
15,52,57,52,0,57
16,55,54,55,0,54
17,65,52,65,0,52
18,63,48,63,0,48
19,66,46,66,0,46
20,68,47,68,0,47
21,71,52,71,0,52
22,73,60,73,0,60
23,9,222,9,82,222
24,85,78,85,0,78
25,90,87,90,0,87
26,96,94,96,0,94
27,0,127,0,100,127
28,0,127,0,100,127
29,0,127,0,100,127
30,11,27,11,78,27
31,0,127,0,100,127
32,12,14,12,76,14
33,0,127,0,100,127
34,93,87,93,0,87
35,96,70,96,0,70
36,104,51,104,0,51
37,113,45,113,0,45
38,0,127,0,100,127
39,0,127,0,100,127
